Parameters,,Total Net Profit,Total Trades,In Trade Max Draw Down(Closed Bar),Profit to Max Draw,Closed Trade Max Draw,Profit to Closed Trade Max Draw,PercentWinners,DrawPeriods Over -30k,Average Draw Over -30k,Draw Periods Over -10k,Average Draw Over -10k,MaxWin,MaxLoss,Avg Win,Avg Loss,Long Trades,Short Trades,Percent Long
"(60,)","(3,)"," 350,826 ", 599 ," (150,423)", 2 ," (148,260)", 2 , 46 , 5 ," (64,344)", 24 ," (26,254)"," 29,148 "," (28,392)"," 5,658 "," (3,678)", 300 , 299 , 50 
"(25,)","(10,)"," 217,350 ", 556 ," (94,563)", 2 ," (91,035)", 2 , 49 , 9 ," (45,836)", 25 ," (27,675)"," 26,943 "," (20,874)"," 5,586 "," (4,603)", 278 , 278 , 50 
"(90,)","(6,)"," 266,784 ", 326 ," (117,285)", 2 ," (110,250)", 2 , 46 , 7 ," (58,074)", 21 ," (29,624)"," 49,014 "," (25,200)"," 8,069 "," (5,511)", 163 , 163 , 50 
"(95,)","(6,)"," 271,404 ", 326 ," (119,679)", 2 ," (104,517)", 3 , 45 , 7 ," (64,416)", 20 ," (33,827)"," 32,487 "," (28,539)"," 8,219 "," (5,339)", 163 , 163 , 50 
"(70,)","(8,)"," 251,748 ", 307 ," (111,111)", 2 ," (97,776)", 3 , 48 , 7 ," (61,830)", 28 ," (27,155)"," 29,442 "," (25,893)"," 8,302 "," (6,127)", 153 , 154 , 50 
"(45,)","(10,)"," 298,956 ", 376 ," (132,132)", 2 ," (127,890)", 2 , 49 , 9 ," (52,948)", 26 ," (29,146)"," 30,996 "," (27,846)"," 7,592 "," (5,893)", 188 , 188 , 50 
"(50,)","(10,)"," 313,152 ", 352 ," (138,453)", 2 ," (129,780)", 2 , 51 , 7 ," (61,725)", 25 ," (28,352)"," 23,919 "," (28,476)"," 7,555 "," (6,156)", 176 , 176 , 50 
"(35,)","(8,)"," 284,970 ", 495 ," (126,546)", 2 ," (120,918)", 2 , 48 , 5 ," (69,619)", 25 ," (27,043)"," 28,434 "," (23,898)"," 6,475 "," (4,882)", 247 , 248 , 50 
"(65,)","(7,)"," 294,252 ", 354 ," (134,169)", 2 ," (128,226)", 2 , 48 , 4 ," (69,699)", 28 ," (25,086)"," 25,599 "," (23,667)"," 7,865 "," (5,759)", 177 , 177 , 50 
"(95,)","(4,)"," 315,756 ", 412 ," (144,081)", 2 ," (135,408)", 2 , 45 , 6 ," (74,764)", 24 ," (31,788)"," 32,172 "," (25,536)"," 7,034 "," (4,497)", 206 , 206 , 50 
"(50,)","(6,)"," 320,712 ", 446 ," (146,769)", 2 ," (142,905)", 2 , 48 , 6 ," (64,446)", 24 ," (29,382)"," 29,358 "," (25,536)"," 7,052 "," (5,133)", 223 , 223 , 50 
"(40,)","(9,)"," 295,302 ", 425 ," (136,416)", 2 ," (131,586)", 2 , 50 , 8 ," (51,096)", 31 ," (23,908)"," 28,413 "," (21,231)"," 6,800 "," (5,325)", 212 , 213 , 50 
"(15,)","(4,)"," 314,370 "," 1,177 "," (149,730)", 2 ," (139,461)", 2 , 46 , 8 ," (58,582)", 30 ," (27,463)"," 26,145 "," (18,480)"," 4,034 "," (2,984)", 589 , 588 , 50 
"(15,)","(2,)"," 365,064 "," 1,934 "," (174,363)", 2 ," (170,772)", 2 , 45 , 6 ," (63,238)", 22 ," (31,005)"," 25,788 "," (20,076)"," 3,098 "," (2,186)", 967 , 967 , 50 
"(90,)","(5,)"," 269,094 ", 366 ," (129,507)", 2 ," (124,551)", 2 , 44 , 8 ," (55,939)", 22 ," (32,028)"," 50,568 "," (25,200)"," 7,816 "," (5,028)", 183 , 183 , 50 
"(75,)","(5,)"," 250,992 ", 379 ," (121,905)", 2 ," (108,633)", 2 , 47 , 7 ," (58,935)", 22 ," (31,052)"," 31,500 "," (23,625)"," 7,409 "," (5,343)", 189 , 190 , 50 
"(85,)","(2,)"," 206,766 ", 775 ," (102,102)", 2 ," (97,776)", 2 , 44 , 7 ," (58,368)", 27 ," (29,359)"," 35,154 "," (25,494)"," 4,535 "," (3,063)", 387 , 388 , 50 
"(75,)","(7,)"," 212,268 ", 311 ," (104,832)", 2 ," (91,455)", 2 , 47 , 8 ," (52,248)", 25 ," (27,464)"," 31,080 "," (26,691)"," 8,527 "," (6,134)", 155 , 156 , 50 
"(45,)","(6,)"," 350,532 ", 468 ," (174,300)", 2 ," (170,184)", 2 , 47 , 5 ," (64,856)", 28 ," (25,408)"," 24,381 "," (24,171)"," 6,900 "," (4,796)", 234 , 234 , 50 
"(10,)","(4,)"," 324,198 "," 1,487 "," (161,700)", 2 ," (158,739)", 2 , 47 , 9 ," (56,289)", 22 ," (32,645)"," 25,893 "," (20,076)"," 3,572 "," (2,729)", 744 , 743 , 50 
"(60,)","(4,)"," 296,520 ", 519 ," (149,373)", 2 ," (147,945)", 2 , 45 , 5 ," (70,291)", 26 ," (25,985)"," 29,148 "," (26,691)"," 6,162 "," (4,003)", 260 , 259 , 50 
"(70,)","(10,)"," 265,986 ", 289 ," (136,143)", 2 ," (128,142)", 2 , 48 , 6 ," (66,014)", 36 ," (25,928)"," 29,589 "," (28,770)"," 8,893 "," (6,366)", 144 , 145 , 50 
"(10,)","(8,)"," 293,580 "," 1,056 "," (150,297)", 2 ," (146,286)", 2 , 46 , 5 ," (61,820)", 25 ," (26,047)"," 26,901 "," (18,312)"," 4,406 "," (3,324)", 528 , 528 , 50 
"(45,)","(9,)"," 269,598 ", 396 ," (141,330)", 2 ," (139,335)", 2 , 49 , 9 ," (53,622)", 28 ," (28,580)"," 28,623 "," (26,859)"," 7,279 "," (5,687)", 198 , 198 , 50 
"(65,)","(6,)"," 259,518 ", 394 ," (139,251)", 2 ," (130,158)", 2 , 48 , 4 ," (81,023)", 25 ," (27,098)"," 25,116 "," (24,969)"," 7,081 "," (5,397)", 197 , 197 , 50 
"(15,)","(5,)"," 260,358 "," 1,066 "," (142,002)", 2 ," (134,610)", 2 , 46 , 8 ," (55,437)", 28 ," (27,914)"," 25,767 "," (20,097)"," 4,284 "," (3,201)", 533 , 533 , 50 
"(65,)","(10,)"," 249,648 ", 306 ," (136,185)", 2 ," (120,582)", 2 , 47 , 6 ," (67,204)", 27 ," (26,720)"," 28,392 "," (24,612)"," 8,684 "," (6,235)", 153 , 153 , 50 
"(65,)","(2,)"," 232,134 ", 817 ," (127,071)", 2 ," (124,383)", 2 , 41 , 4 ," (81,868)", 16 ," (31,173)"," 27,888 "," (28,266)"," 4,771 "," (2,891)", 409 , 408 , 50 
"(90,)","(8,)"," 222,264 ", 294 ," (125,601)", 2 ," (108,150)", 2 , 47 , 7 ," (66,525)", 20 ," (35,322)"," 48,090 "," (29,064)"," 8,359 "," (6,065)", 147 , 147 , 50 
"(10,)","(5,)"," 290,220 "," 1,325 "," (164,073)", 2 ," (158,655)", 2 , 47 , 5 ," (65,953)", 19 ," (31,813)"," 25,893 "," (18,081)"," 3,838 "," (2,969)", 663 , 662 , 50 
"(75,)","(8,)"," 182,238 ", 301 ," (103,803)", 2 ," (95,088)", 2 , 47 , 7 ," (62,646)", 28 ," (29,302)"," 31,542 "," (27,846)"," 8,641 "," (6,346)", 150 , 151 , 50 
"(55,)","(9,)"," 182,154 ", 364 ," (105,861)", 2 ," (98,448)", 2 , 47 , 4 ," (72,445)", 25 ," (25,399)"," 23,436 "," (29,862)"," 7,320 "," (5,592)", 182 , 182 , 50 
"(70,)","(7,)"," 217,896 ", 325 ," (127,953)", 2 ," (123,018)", 2 , 46 , 6 ," (62,080)", 29 ," (25,242)"," 29,442 "," (24,906)"," 8,241 "," (5,819)", 162 , 163 , 50 
"(45,)","(7,)"," 303,282 ", 440 ," (179,235)", 2 ," (175,728)", 2 , 48 , 6 ," (64,558)", 30 ," (25,554)"," 31,038 "," (24,717)"," 7,001 "," (5,204)", 220 , 220 , 50 
"(5,)","(9,)"," 311,808 "," 1,121 "," (186,186)", 2 ," (178,815)", 2 , 48 , 7 ," (61,848)", 22 ," (32,963)"," 25,767 "," (20,874)"," 4,197 "," (3,329)", 561 , 560 , 50 
"(5,)","(10,)"," 326,172 ", 991 ," (196,854)", 2 ," (193,284)", 2 , 48 , 5 ," (37,002)", 25 ," (22,472)"," 26,355 "," (18,816)"," 4,434 "," (3,437)", 496 , 495 , 50 
"(75,)","(6,)"," 215,040 ", 343 ," (131,103)", 2 ," (110,964)", 2 , 47 , 8 ," (56,965)", 24 ," (29,014)"," 31,080 "," (26,460)"," 7,976 "," (5,764)", 171 , 172 , 50 
"(60,)","(5,)"," 266,070 ", 455 ," (163,212)", 2 ," (161,784)", 2 , 45 , 5 ," (72,043)", 25 ," (27,481)"," 28,875 "," (26,901)"," 6,709 "," (4,395)", 228 , 227 , 50 
"(70,)","(2,)"," 214,032 ", 810 ," (132,279)", 2 ," (124,908)", 2 , 41 , 5 ," (78,452)", 26 ," (28,386)"," 27,741 "," (20,937)"," 4,810 "," (2,918)", 405 , 405 , 50 
"(45,)","(8,)"," 238,686 ", 420 ," (149,499)", 2 ," (147,000)", 2 , 47 , 4 ," (40,929)", 19 ," (21,516)"," 28,623 "," (26,691)"," 7,205 "," (5,265)", 210 , 210 , 50 
"(60,)","(7,)"," 226,968 ", 383 ," (142,338)", 2 ," (138,558)", 2 , 49 , 7 ," (58,320)", 29 ," (26,815)"," 28,770 "," (31,353)"," 6,819 "," (5,296)", 192 , 191 , 50 
"(35,)","(9,)"," 249,900 ", 467 ," (159,285)", 2 ," (153,300)", 2 , 49 , 6 ," (72,863)", 20 ," (33,604)"," 28,203 "," (24,591)"," 6,613 "," (5,216)", 233 , 234 , 50 
"(70,)","(4,)"," 223,272 ", 456 ," (144,837)", 2 ," (137,340)", 2 , 46 , 4 ," (77,584)", 27 ," (24,703)"," 27,048 "," (25,284)"," 6,485 "," (4,718)", 228 , 228 , 50 
"(65,)","(9,)"," 231,630 ", 320 ," (151,431)", 2 ," (140,049)", 2 , 47 , 6 ," (65,968)", 25 ," (28,566)"," 26,712 "," (24,612)"," 8,284 "," (5,965)", 160 , 160 , 50 
"(30,)","(10,)"," 213,990 ", 478 ," (149,646)", 1 ," (145,950)", 1 , 48 , 8 ," (56,220)", 25 ," (27,892)"," 26,712 "," (22,911)"," 6,374 "," (5,095)", 239 , 239 , 50 
"(10,)","(6,)"," 277,158 "," 1,217 "," (197,904)", 1 ," (191,667)", 1 , 46 , 5 ," (69,065)", 17 ," (33,052)"," 26,145 "," (20,538)"," 4,042 "," (3,072)", 609 , 608 , 50 
"(60,)","(8,)"," 222,684 ", 357 ," (163,422)", 1 ," (159,558)", 1 , 46 , 6 ," (64,572)", 23 ," (29,200)"," 30,597 "," (23,205)"," 7,750 "," (5,512)", 179 , 178 , 50 
"(55,)","(10,)"," 161,700 ", 338 ," (126,399)", 1 ," (111,258)", 1 , 48 , 3 ," (105,777)", 28 ," (25,835)"," 26,796 "," (33,264)"," 7,636 "," (6,058)", 169 , 169 , 50 
"(15,)","(3,)"," 270,312 "," 1,383 "," (212,037)", 1 ," (208,929)", 1 , 44 , 6 ," (69,517)", 18 ," (36,029)"," 25,788 "," (20,076)"," 3,820 "," (2,703)", 692 , 691 , 50 
"(60,)","(6,)"," 193,746 ", 419 ," (156,324)", 1 ," (149,583)", 1 , 46 , 7 ," (62,325)", 24 ," (29,385)"," 28,770 "," (29,379)"," 6,630 "," (4,871)", 210 , 209 , 50 
"(40,)","(10,)"," 254,772 ", 403 ," (210,273)", 1 ," (206,451)", 1 , 50 , 7 ," (69,096)", 23 ," (31,316)"," 31,206 "," (23,184)"," 7,013 "," (5,657)", 201 , 202 , 50 
"(70,)","(5,)"," 174,888 ", 398 ," (158,235)", 1 ," (152,292)", 1 , 46 , 5 ," (73,202)", 27 ," (26,169)"," 27,048 "," (24,969)"," 7,170 "," (5,208)", 199 , 199 , 50 
"(60,)","(9,)"," 164,766 ", 339 ," (160,944)", 1 ," (155,652)", 1 , 45 , 6 ," (70,018)", 24 ," (29,613)"," 30,744 "," (25,074)"," 8,100 "," (5,719)", 170 , 169 , 50 
"(60,)","(10,)"," 178,332 ", 320 ," (177,891)", 1 ," (169,449)", 1 , 48 , 5 ," (82,320)", 19 ," (34,011)"," 26,712 "," (26,922)"," 7,966 "," (6,338)", 160 , 160 , 50 
"(70,)","(6,)"," 164,724 ", 362 ," (185,073)", 1 ," (178,542)", 1 , 46 , 4 ," (87,512)", 22 ," (28,584)"," 27,447 "," (24,906)"," 7,594 "," (5,536)", 181 , 181 , 50 
"(10,)","(7,)"," 238,980 "," 1,131 "," (273,063)", 1 ," (264,117)", 1 , 47 , 6 ," (82,600)", 15 ," (43,194)"," 25,767 "," (20,874)"," 4,147 "," (3,338)", 566 , 565 , 50 
