,,Total Net Profit,Total Trades,In Trade Max Draw Down(Closed Bar),Profit to Max Draw,Closed Trade Max Draw,Profit to Closed Trade Max Draw,PercentWinners,DrawPeriods Over -30k,Average Draw Over -30k,Draw Periods Over -10k,Average Draw Over -10k,MaxWin,MaxLoss,Avg Win,Avg Loss,Long Trades,Short Trades,Percent Long
"(65,)","(10,)",249648.0,306,-136185.0,1.833153430994603,-120582.0,2.0703587600139324,47.21,6,-67204.0,27,-26720.0,28392.0,-24612.0,8684.0,-6235.0,153,153,50.0
"(65,)","(2,)",232134.0,817,-127071.0,1.8268054866964138,-124383.0,1.8662839777139963,41.48,4,-81868.0,16,-31173.0,27888.0,-28266.0,4771.0,-2891.0,409,408,50.06
"(90,)","(8,)",222264.0,294,-125601.0,1.7696037451931115,-108150.0,2.055145631067961,46.6,7,-66525.0,20,-35322.0,48090.0,-29064.0,8359.0,-6065.0,147,147,50.0
"(10,)","(5,)",290220.0,1325,-164073.0,1.7688467938051964,-158655.0,1.829252150893448,46.75,5,-65953.0,19,-31813.0,25893.0,-18081.0,3838.0,-2969.0,663,662,50.04
"(75,)","(8,)",182238.0,301,-103803.0,1.7556139995953874,-95088.0,1.9165194346289753,46.51,7,-62646.0,28,-29302.0,31542.0,-27846.0,8641.0,-6346.0,150,151,49.83
"(55,)","(9,)",182154.0,364,-105861.0,1.720690339218409,-98448.0,1.8502559726962458,47.11,4,-72445.0,25,-25399.0,23436.0,-29862.0,7320.0,-5592.0,182,182,50.0
"(70,)","(7,)",217896.0,325,-127953.0,1.7029377974725095,-123018.0,1.7712529873677023,45.99,6,-62080.0,29,-25242.0,29442.0,-24906.0,8241.0,-5819.0,162,163,49.85
"(45,)","(7,)",303282.0,440,-179235.0,1.692091388400703,-175728.0,1.7258604206500956,48.18,6,-64558.0,30,-25554.0,31038.0,-24717.0,7001.0,-5204.0,220,220,50.0
"(5,)","(9,)",311808.0,1121,-186186.0,1.6747123843898037,-178815.0,1.743746330005872,47.85,7,-61848.0,22,-32963.0,25767.0,-20874.0,4197.0,-3329.0,561,560,50.04
"(5,)","(10,)",326172.0,991,-196854.0,1.6569234051632173,-193284.0,1.6875271621034333,47.77,5,-37002.0,25,-22472.0,26355.0,-18816.0,4434.0,-3437.0,496,495,50.05
"(75,)","(6,)",215040.0,343,-131103.0,1.640237065513375,-110964.0,1.9379258137774413,46.65,8,-56965.0,24,-29014.0,31080.0,-26460.0,7976.0,-5764.0,171,172,49.85
"(60,)","(5,)",266070.0,455,-163212.0,1.630211013896037,-161784.0,1.6446002076843198,44.81,5,-72043.0,25,-27481.0,28875.0,-26901.0,6709.0,-4395.0,228,227,50.11
"(70,)","(2,)",214032.0,810,-132279.0,1.6180346086680426,-124908.0,1.7135171486213854,41.19,5,-78452.0,26,-28386.0,27741.0,-20937.0,4810.0,-2918.0,405,405,50.0
"(45,)","(8,)",238686.0,420,-149499.0,1.5965725523247647,-147000.0,1.6237142857142857,46.67,4,-40929.0,19,-21516.0,28623.0,-26691.0,7205.0,-5265.0,210,210,50.0
"(60,)","(7,)",226968.0,383,-142338.0,1.5945706698141044,-138558.0,1.6380721430736587,48.56,7,-58320.0,29,-26815.0,28770.0,-31353.0,6819.0,-5296.0,192,191,50.13
