,,Total Net Profit,Total Trades,In Trade Max Draw Down(Closed Bar),Profit to Max Draw,Closed Trade Max Draw,Profit to Closed Trade Max Draw,PercentWinners,DrawPeriods Over -30k,Average Draw Over -30k,Draw Periods Over -10k,Average Draw Over -10k,MaxWin,MaxLoss,Avg Win,Avg Loss,Long Trades,Short Trades,Percent Long
"(95,)","(7,)",320502.0,294,-102165.0,3.1371017471736895,-92568.0,3.4623411978221417,47.28,5,-67494.0,22,-29371.0,50211.0,-26481.0,8503.0,-5736.0,147,147,50.0
"(80,)","(4,)",282408.0,441,-90489.0,3.120909723833836,-81711.0,3.4561809303520947,45.56,7,-49548.0,29,-26000.0,32928.0,-26691.0,6909.0,-4568.0,220,221,49.89
"(5,)","(6,)",369306.0,1701,-119469.0,3.0912286869397083,-117096.0,3.153873744619799,46.78,8,-56718.0,32,-27332.0,26040.0,-20076.0,3349.0,-2545.0,851,850,50.03
"(80,)","(7,)",231000.0,321,-75075.0,3.076923076923077,-66423.0,3.4777110338286437,45.79,9,-52325.0,29,-29873.0,29442.0,-27258.0,8346.0,-5733.0,160,161,49.84
"(40,)","(7,)",294042.0,481,-95907.0,3.0659075979855483,-90888.0,3.235212569316081,48.02,6,-58296.0,26,-25019.0,27468.0,-24171.0,6457.0,-4782.0,240,241,49.9
"(80,)","(3,)",251538.0,531,-82656.0,3.043191056910569,-71568.0,3.5146713615023475,45.23,8,-49547.0,28,-26612.0,32781.0,-26691.0,5946.0,-4005.0,265,266,49.91
"(90,)","(9,)",268800.0,276,-88851.0,3.0252895296620186,-80976.0,3.319502074688797,47.46,6,-59910.0,20,-29796.0,49854.0,-31017.0,8894.0,-6376.0,138,138,50.0
"(55,)","(7,)",255612.0,400,-87171.0,2.9323054685617924,-84567.0,3.0225974670970945,47.75,5,-55175.0,21,-25026.0,23919.0,-30639.0,6910.0,-5116.0,200,200,50.0
"(35,)","(6,)",343854.0,557,-117474.0,2.9270647121916338,-101556.0,3.3858560794044665,47.22,7,-64839.0,28,-27939.0,27048.0,-24171.0,6232.0,-4418.0,278,279,49.91
"(40,)","(8,)",304752.0,447,-104202.0,2.924627166465135,-99372.0,3.066779374471682,49.22,7,-53958.0,27,-24834.0,26922.0,-24549.0,6588.0,-5042.0,223,224,49.89
"(30,)","(8,)",341754.0,524,-117978.0,2.896760412958348,-105630.0,3.2353876739562626,49.52,9,-47621.0,24,-27000.0,26775.0,-24171.0,6136.0,-4724.0,262,262,50.0
"(10,)","(3,)",373002.0,1793,-129759.0,2.8745751739763716,-128457.0,2.9037109694294587,46.44,5,-62903.0,25,-26487.0,28098.0,-19278.0,3258.0,-2439.0,897,896,50.03
"(95,)","(10,)",284844.0,252,-99435.0,2.8646251319957763,-89691.0,3.1758370405057366,46.61,8,-51266.0,18,-32272.0,49266.0,-31017.0,9380.0,-6283.0,126,126,50.0
"(5,)","(2,)",366408.0,3456,-128079.0,2.8607968519429416,-128079.0,2.8607968519429416,46.65,6,-63648.0,29,-26522.0,32634.0,-15330.0,2251.0,-1766.0,1728,1728,50.0
"(65,)","(8,)",322476.0,332,-113547.0,2.8400221934529313,-107604.0,2.9968774395003903,48.19,7,-51429.0,32,-23985.0,25599.0,-26964.0,8256.0,-5825.0,166,166,50.0
"(75,)","(2,)",294546.0,731,-105777.0,2.7845940043676793,-97230.0,3.0293736501079915,44.0,6,-59938.0,29,-25858.0,33075.0,-21609.0,4899.0,-3116.0,365,366,49.93
"(50,)","(7,)",349482.0,412,-126273.0,2.7676700482288377,-122409.0,2.8550351689826727,49.15,7,-57543.0,23,-29347.0,28623.0,-24717.0,7153.0,-5286.0,206,206,50.0
"(90,)","(10,)",257628.0,268,-93261.0,2.7624408916910608,-86226.0,2.9878226984900147,46.07,6,-63116.0,22,-28520.0,49140.0,-30240.0,9343.0,-6387.0,134,134,50.0
"(80,)","(6,)",234360.0,351,-84861.0,2.7616926503340755,-81900.0,2.8615384615384616,43.87,8,-54876.0,28,-30007.0,31206.0,-25536.0,8200.0,-5227.0,175,176,49.86
"(35,)","(10,)",324744.0,449,-117747.0,2.7579810950597468,-113526.0,2.8605253422123567,49.55,7,-59931.0,28,-28108.0,31206.0,-24129.0,6805.0,-5217.0,224,225,49.89
"(5,)","(8,)",379344.0,1251,-138936.0,2.7303506650544134,-132258.0,2.8682121308351856,46.8,8,-56416.0,25,-29757.0,26145.0,-18480.0,4009.0,-2967.0,626,625,50.04
"(50,)","(9,)",372876.0,368,-138327.0,2.695612570214058,-134064.0,2.781328320802005,52.04,6,-65978.0,26,-27053.0,27468.0,-26859.0,7422.0,-5989.0,184,184,50.0
"(25,)","(9,)",250950.0,580,-93639.0,2.6799730881363533,-89271.0,2.811103269818866,48.36,12,-47330.0,29,-29291.0,26943.0,-20874.0,5593.0,-4400.0,290,290,50.0
"(15,)","(6,)",314958.0,964,-117663.0,2.6767802962698553,-114009.0,2.7625713759440043,47.09,10,-45656.0,28,-25655.0,26901.0,-22575.0,4498.0,-3406.0,482,482,50.0
"(50,)","(5,)",381780.0,478,-142821.0,2.6731363034847817,-137046.0,2.785779957094698,49.27,7,-53106.0,32,-24775.0,31311.0,-24906.0,6628.0,-4897.0,239,239,50.0
"(30,)","(2,)",376446.0,1266,-141813.0,2.654523915296905,-134757.0,2.793517219884681,43.31,6,-72058.0,33,-25299.0,26208.0,-19320.0,3907.0,-2451.0,633,633,50.0
"(75,)","(4,)",273084.0,433,-103761.0,2.6318558996154624,-88431.0,3.0881025884587983,45.96,7,-55563.0,19,-32430.0,32004.0,-23625.0,6822.0,-4634.0,216,217,49.88
"(95,)","(9,)",281232.0,268,-107730.0,2.610526315789474,-98028.0,2.8688946015424164,46.07,5,-66410.0,20,-29227.0,49266.0,-29757.0,9060.0,-5987.0,134,134,50.0
"(45,)","(5,)",362586.0,514,-139818.0,2.593271252628417,-136038.0,2.665328805186786,47.76,6,-56546.0,27,-24186.0,26712.0,-23100.0,6439.0,-4553.0,257,257,50.0
"(90,)","(7,)",271278.0,312,-105693.0,2.566660043711504,-91896.0,2.9520109689213894,47.44,8,-54826.0,24,-29637.0,49014.0,-27804.0,8086.0,-5805.0,156,156,50.0
"(65,)","(5,)",324072.0,428,-126609.0,2.5596284624315806,-123249.0,2.6294087578803884,48.83,7,-60756.0,29,-26728.0,25116.0,-24948.0,6711.0,-4935.0,214,214,50.0
"(75,)","(3,)",242088.0,529,-96180.0,2.5170305676855893,-82614.0,2.9303507880020336,42.67,9,-52939.0,30,-28105.0,32781.0,-21651.0,6289.0,-3873.0,264,265,49.91
"(70,)","(9,)",270228.0,301,-108255.0,2.4962172647914644,-100254.0,2.695433598659405,47.84,8,-56537.0,29,-27835.0,29694.0,-27846.0,8555.0,-6161.0,150,151,49.83
"(95,)","(3,)",306726.0,482,-123669.0,2.4802173543895396,-116865.0,2.624618149146451,45.21,9,-59026.0,25,-30483.0,31605.0,-25536.0,6157.0,-4011.0,241,241,50.0
"(95,)","(8,)",275814.0,282,-112665.0,2.448089468779124,-103866.0,2.6554791750909827,43.62,6,-63721.0,20,-32328.0,50064.0,-27804.0,9321.0,-5649.0,141,141,50.0
"(30,)","(9,)",301644.0,496,-123774.0,2.4370546318289787,-116466.0,2.58997475658132,49.6,8,-49888.0,24,-27462.0,26775.0,-24171.0,6254.0,-4947.0,248,248,50.0
"(5,)","(5,)",308280.0,1957,-127302.0,2.4216430221049157,-124635.0,2.4734625105307497,45.05,7,-57918.0,37,-25874.0,21504.0,-19278.0,3163.0,-2308.0,979,978,50.03
"(75,)","(9,)",227934.0,291,-95907.0,2.3766148456317056,-87801.0,2.5960296579765605,46.55,8,-55146.0,28,-28846.0,31479.0,-28770.0,8864.0,-6257.0,145,146,49.83
"(70,)","(3,)",283836.0,542,-121065.0,2.3444926279271465,-114387.0,2.481365889480448,46.03,6,-62626.0,29,-25834.0,29001.0,-30177.0,5966.0,-4120.0,271,271,50.0
"(10,)","(9,)",300972.0,982,-128751.0,2.337628445604306,-126231.0,2.3842954583264016,46.42,7,-61896.0,22,-31105.0,26355.0,-20160.0,4546.0,-3384.0,491,491,50.0
